City,Street,Community,FinalPrice,Period_of_Transaction,Number_of_Bedrooms,Number_of_Livlingrooms,Number_of_Kitchens,Number_of_Bathrooms,Heading,Listing_Price,Year_of_Construction,Area,Price_per_squaremeter,Elevator,Floorlevel,Decoration
Hangzhou,Fuxing,Meizhenghuayuan,3.19,188,3,2,1,1,South,3.2,1999,72.05㎡          ,44275,No           ,Mid           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,3.87,151,4,2,1,2,South,4.88,2000,110.89㎡          ,34900,No           ,Mid           ,Mediocre     
Hangzhou,Fuxing,Fuxingbeiyuan,1.42,20,1,1,1,1,South   ,1.48,1998,33.76㎡          ,42062,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,5.29,199,4,2,1,2,South,5.98,2005,173.26㎡          ,30533,Yes           ,Low           ,Mediocre     
Hangzhou,Fuxing,Shuichenghuayuannanyuan,5.98,69,3,2,1,2,South   ,6.2,2000,139.79㎡          ,42779,Yes           ,High           ,Mediocre     
Hangzhou,Fuxing,Qinhejiayuan,1.45,84,1,1,1,1,South   ,1.5,2003,34.4㎡          ,42152,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxinchengshijiayuan,2,64,2,1,1,1,South,2.7,2000,61.5㎡          ,32521,No           ,Mid           ,Mediocre     
Hangzhou,Fuxing,Minanyuan,2.275,30,2,1,1,1,South   ,2.3,2002,46.9㎡          ,48508,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,1.42,27,1,0,1,1,South   ,1.45,2000,36.1㎡          ,39336,No           ,Mid           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,2.43,60,2,1,1,1,South,2.48,2000,50.55㎡          ,48072,No           ,High           ,Fine     
Hangzhou,Fuxing,Fuxingbeiyuan,1.59,24,1,1,1,1,East   ,1.68,1998,36.63㎡          ,43408,No           ,Mid           ,Fine     
Hangzhou,Fuxing,Minanyuan,1.65,79,2,1,1,1,South   ,1.72,2002,37.03㎡          ,44559,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,1.46,72,1,1,1,1,South   ,1.5,1998,34.22㎡          ,42666,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxingbeiyuan,1.38,11,1,1,1,1,South,1.4,2000,33.96㎡          ,40637,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Minanyuan,1.6,125,1,1,1,1,South   ,1.67,2002,39.77㎡          ,40232,No           ,Mid           ,None     
Hangzhou,Fuxing,Fuxinnanyuan,2.03,74,2,1,1,1,South   ,2.05,1998,48.06㎡          ,42239,No           ,Mid           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,9.55,111,1,1,1,1,South   ,1.47,2000,35.48㎡          ,26909,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,1.445,135,1,1,1,1,South   ,1.46,1998,33.87㎡          ,42664,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxingbeiyuan,2,34,2,2,1,1,South   ,2,1998,47.86㎡          ,41789,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,2.216,54,2,1,1,1,South   ,2.25,1998,48.08㎡          ,46090,No           ,Mid           ,Fine     
Hangzhou,Fuxing,Meizhenghuayuan,1.5,48,1,1,1,1,South   ,1.85,1998,40.92㎡          ,36657,No           ,Low           ,Fine     
Hangzhou,Fuxing,Minanyuan,2.17,33,2,1,1,1,South   ,2.35,2002,51.15㎡          ,42425,No           ,Mid           ,Mediocre     
